Business_ID,Cuisine
nAcVK-Y1_ojsRF_04o-x-A,chinese
jLhKLKuNPMTzAMJgEY5DsQ,chinese
U74_3F7r3tMhd6dmTmDBxQ,chinese
7ZQSMqWzvXMSetXnii2fBg,chinese
kxv4jD_qXRPVrV0oPR7isQ,chinese
IgTNgGE0qvTjkmCUzrNwtQ,chinese
7erFgHiQmw7ZJfVPmOjeeA,chinese
8Oo2AtQEPDfxIOnA8wfXoQ,chinese
3W6S2wraTAj5y4Cd8eQvvw,chinese
zdX9mwhoknXXYL1GCstnow,chinese
Z9t-ou4JhiBu-n4-F7hDng,chinese
k34VgKhpuIRPEr8vKSMwjA,chinese
tDYk6DmmU3buWBs9G0NBXQ,chinese
oD0mN9vXuc1gFRyw1CG-Pw,chinese
EZo6MdrZ_EH_MzUl93xkyA,chinese
sR-KTsDa4vafaDak9Ik2sQ,chinese
GCcJqfBm3Fq-ccYwit6xcw,chinese
K0qsGnFv-edPDqVBdLCocQ,chinese
Qsc2DrX3IR-uGfwnUlOzcA,chinese
Aux2Mp7bGnF3S6h60ab3iQ,chinese
bSi2f2TaOr4RVTI5eFt0wQ,chinese
-7PgxPVUGZh__U3CxRFKxg,chinese
s5JNxy0eAFgxS2Poi73ODw,chinese
Ej-hrhc8HFWfijN4X5akOg,chinese
EFihj7vsRRXiF5la-UURyw,chinese
wurhcLKXD4YJ5XfTxpbE5Q,chinese
HScFap2SwbUlfC-QXVkxFA,chinese
8xDbEfYXuPwi-94LLcb22A,chinese
EN9_LsFpY44Hkzcnu0jfIg,chinese
4WyXnioHqTIcaFFN_TS1Vw,chinese
tA_AoGEL_oGllbU2j77Shw,chinese
UNyGz06_7RendbswIyNYtA,chinese
YdAtCf_13UK-uvXuOMrhNg,chinese
mDajKjZjRN4tVGEJFOgF9w,chinese
LqL-SEhj2m19dWBz0q-vqA,chinese
d_TC6Om2EBTzHVm_lCgNtg,chinese
ubeG-hyIV8qoSSAk_pAZ2A,chinese
lQ8Fzgji9qmgRXkFcvAsVQ,chinese
lgS9lE0Y9FhzT68zCj5QCw,chinese
croh2zWlbPyCQTNS11klcg,chinese
rEbwps11tIERRkwQrIXQog,chinese
VW2Epq3C8jqysu6Edpu-RA,chinese
jwKPVep2qZYBUA6SLLQPvg,chinese
PGeL1b4xNJggpZsHEGoxjg,chinese
X4hEgOBOLTYFhlWO-gAFxQ,chinese
k_y6o8zqI3cODdKABwWZ9g,chinese
